Time - Plot 0,Amplitude - Plot 0,Time - Plot 1,Amplitude - Plot 1,,,
5.42E-06,10,5.42E-06,4.8,,,
5.43E-06,10.2,5.43E-06,4.8,,,
5.44E-06,10,5.44E-06,4.6,,,
5.45E-06,10.2,5.45E-06,4.8,,,
5.46E-06,10.4,5.46E-06,4.8,,,
5.47E-06,10.2,5.47E-06,5,,,
5.48E-06,10.4,5.48E-06,5,,,
5.49E-06,10.2,5.49E-06,5,,,
5.50E-06,10.2,5.50E-06,4.6,,,
5.51E-06,10.2,5.51E-06,5,,,
5.52E-06,10.2,5.52E-06,4.8,,,
5.53E-06,10.4,5.53E-06,4.8,,,
5.54E-06,10.2,5.54E-06,4.8,,,
5.55E-06,10.2,5.55E-06,4.6,,,
5.56E-06,10.2,5.56E-06,4.8,,,
5.57E-06,10,5.57E-06,4.8,,,
5.58E-06,10.2,5.58E-06,4.8,,,
5.59E-06,10.2,5.59E-06,4.8,,,
5.60E-06,10.2,5.60E-06,4.8,,,
