Time - Plot 0,Amplitude - Plot 0
0.02936,0.64
0.02938,0.72
0.0294,0.56
0.02942,0.72
0.02944,0.56
0.02946,0.64
0.02948,0.56
0.0295,0.72
0.02952,0.48
0.02954,0.72
0.02956,0.48
0.02958,0.72
0.0296,0.56
0.02962,0.64
0.02964,0.48
0.02966,0.56
0.02968,0.48
0.0297,0.56
0.02972,0.4
0.02974,0.56
0.02976,0.32
0.02978,0.4
0.0298,0.32
0.02982,0.4
0.02984,0.24
0.02986,0.4
0.02988,0.16
0.0299,0.32
0.02992,0.08
0.02994,0.32
0.02996,0.08
0.02998,0.24
0.03,0
0.03002,0.16
0.03004,0
0.03006,0.08
0.03008,-0.08
0.0301,0
0.03012,-0.16
0.03014,0.08
0.03016,-0.16
0.03018,-0.08
0.0302,-0.32
0.03022,-0.16
0.03024,-0.32
0.03026,-0.16
0.03028,-0.4
0.0303,-0.24
0.03032,-0.4
0.03034,-0.32
0.03036,-0.48
0.03038,-0.32
0.0304,-0.48
0.03042,-0.4
0.03044,-0.56
0.03046,-0.4
0.03048,-0.56
0.0305,-0.48
0.03052,-0.64
0.03054,-0.48
0.03056,-0.64
0.03058,-0.56
0.0306,-0.72
0.03062,-0.56
0.03064,-0.8
0.03066,-0.64
0.03068,-0.8
0.0307,-0.72
0.03072,-0.88
0.03074,-0.72
0.03076,-0.88
0.03078,-0.8
0.0308,-0.96
0.03082,-0.8
0.03084,-1.04
0.03086,-0.88
0.03088,-1.04
0.0309,-0.96
0.03092,-1.12
0.03094,-0.96
0.03096,-1.2
0.03098,-1.04
0.031,-1.2
0.03102,-1.04
0.03104,-1.2
0.03106,-1.12
0.03108,-1.28
0.0311,-1.12
0.03112,-1.28
0.03114,-1.12
0.03116,-1.44
0.03118,-1.12
0.0312,-1.36
0.03122,-1.28
0.03124,-1.36
0.03126,-1.36
0.03128,-1.44
0.0313,-1.36
0.03132,-1.52
0.03134,-1.36
0.03136,-1.52
0.03138,-1.36
0.0314,-1.52
0.03142,-1.44
0.03144,-1.68
0.03146,-1.44
0.03148,-1.6
0.0315,-1.44
0.03152,-1.6
0.03154,-1.44
0.03156,-1.68
0.03158,-1.52
0.0316,-1.68
0.03162,-1.6
0.03164,-1.76
0.03166,-1.52
0.03168,-1.76
0.0317,-1.68
0.03172,-1.84
0.03174,-1.6
0.03176,-1.84
0.03178,-1.6
0.0318,-1.92
0.03182,-1.76
0.03184,-1.84
0.03186,-1.76
0.03188,-1.84
0.0319,-1.68
0.03192,-1.92
0.03194,-1.76
0.03196,-1.92
0.03198,-1.84
0.032,-2
0.03202,-1.76
0.03204,-1.92
0.03206,-1.84
0.03208,-2
0.0321,-1.84
0.03212,-1.92
0.03214,-1.92
0.03216,-2
0.03218,-1.92
0.0322,-2
0.03222,-1.84
0.03224,-2
0.03226,-1.92
0.03228,-2
0.0323,-1.84
0.03232,-2
0.03234,-1.92
0.03236,-2.08
0.03238,-1.92
0.0324,-2
0.03242,-1.92
0.03244,-2
0.03246,-1.84
0.03248,-2
0.0325,-1.92
0.03252,-2
0.03254,-1.92
0.03256,-2
0.03258,-1.92
0.0326,-2
0.03262,-1.92
0.03264,-2.08
0.03266,-1.84
0.03268,-2
0.0327,-1.92
0.03272,-2
0.03274,-1.92
0.03276,-2.08
0.03278,-1.92
0.0328,-2.08
0.03282,-1.92
0.03284,-2
0.03286,-1.92
0.03288,-2
0.0329,-1.84
0.03292,-1.92
0.03294,-1.84
0.03296,-2
0.03298,-1.84
0.033,-2
0.03302,-1.84
0.03304,-1.92
0.03306,-1.68
0.03308,-2
0.0331,-1.76
0.03312,-1.84
0.03314,-1.76
0.03316,-1.84
0.03318,-1.76
0.0332,-1.84
0.03322,-1.76
0.03324,-1.92
0.03326,-1.68
0.03328,-1.84
0.0333,-1.68
0.03332,-1.76
0.03334,-1.68
0.03336,-1.76
0.03338,-1.68
0.0334,-1.76
0.03342,-1.6
0.03344,-1.68
0.03346,-1.52
0.03348,-1.68
0.0335,-1.6
0.03352,-1.6
0.03354,-1.44
